Date,Price,Open,High,Low,Vol.,Change %,change
11/30/2023,"24,735.39","24,759.16","25,017.01","24,416.90",281.86M,-0.10%,Negative
11/29/2023,"24,759.16","25,121.73","25,204.84","24,553.42",299.24M,-1.44%,Negative
11/28/2023,"25,121.73","25,905.54","25,930.12","25,121.73",273.85M,-3.03%,Negative
11/27/2023,"25,905.54","25,300.32","25,945.58","25,300.32",376.14M,2.39%,Positive
11/26/2023,"25,300.32","25,519.49","25,743.23","25,241.52",302.67M,-0.86%,Negative
11/23/2023,"25,519.49","25,029.57","25,563.41","25,029.57",329.53M,1.96%,Positive
11/22/2023,"25,029.57","24,774.04","25,098.40","24,774.04",227.89M,1.03%,Positive
11/21/2023,"24,774.04","24,760.02","24,774.04","24,517.90",216.01M,0.06%,Positive
11/20/2023,"24,760.02","24,899.59","25,337.90","24,726.00",242.59M,-0.56%,Negative
11/19/2023,"24,899.59","24,383.27","24,958.79","24,383.27",270.69M,2.12%,Positive
11/16/2023,"24,383.27","24,138.80","24,451.71","24,138.80",294.70M,1.01%,Positive
11/15/2023,"24,138.80","23,894.06","24,196.97","23,894.06",274.90M,1.02%,Positive
11/14/2023,"23,894.06","23,954.96","24,216.58","23,842.85",298.91M,-0.25%,Negative
11/13/2023,"23,954.96","23,910.66","24,073.77","23,694.68",182.09M,0.19%,Positive
11/12/2023,"23,910.66","24,312.92","24,473.74","23,857.08",233.34M,-1.65%,Negative
11/09/2023,"24,312.92","23,986.56","24,543.08","23,986.56",290.75M,1.36%,Positive
11/08/2023,"23,986.56","23,393.41","24,136.44","23,393.41",247.48M,2.54%,Positive
11/07/2023,"23,393.41","23,059.15","23,477.77","23,059.15",365.29M,1.45%,Positive
11/06/2023,"23,059.15","23,094.69","23,246.11","23,011.39",336.34M,-0.15%,Negative
11/05/2023,"23,094.69","22,639.59","23,247.24","22,639.59",337.09M,2.01%,Positive
11/02/2023,"22,639.59","22,433.38","22,882.69","22,433.38",221.60M,0.92%,Positive
